fold,model,roc_auc,pr_auc,brier
1,Logistic,0.8705355386408498,0.5034368053692024,0.05135893472339542
1,XGBoost,0.9736835313203123,0.7855459364680394,0.03014665076443762
2,Logistic,0.8722142487899455,0.5109845123448957,0.051095795848397366
2,XGBoost,0.9760973390680547,0.7989848489357382,0.02914222008029702
3,Logistic,0.8646221715289745,0.50091505212329,0.05169671883736528
3,XGBoost,0.9745107726914702,0.7819718236929976,0.03036953010741107
4,Logistic,0.8708387533584031,0.5093689980931703,0.05113975133286123
4,XGBoost,0.9740646994335753,0.7845350418374876,0.029944661766920153
5,Logistic,0.877044014901006,0.5141064371591709,0.050789221170655235
5,XGBoost,0.9735043177646017,0.7903605224572374,0.029872444059832953
