fold,model,roc_auc,pr_auc,brier
1,Logistic,0.8705355386408498,0.5034368053692024,0.0513589347233954
1,XGBoost,0.9736835313203124,0.7855459364680394,0.0301466507644376
2,Logistic,0.8722142487899455,0.5109845123448957,0.0510957958483973
2,XGBoost,0.9760973390680548,0.7989848489357382,0.029142220080297
3,Logistic,0.8646221715289745,0.50091505212329,0.0516967188373652
3,XGBoost,0.9745107726914702,0.7819718236929976,0.030369530107411
4,Logistic,0.8708387533584031,0.5093689980931703,0.0511397513328612
4,XGBoost,0.9740646994335752,0.7845350418374876,0.0299446617669201
5,Logistic,0.877044014901006,0.5141064371591709,0.0507892211706552
5,XGBoost,0.9735043177646016,0.7903605224572374,0.0298724440598329
1,TabNet,0.9385123574897378,0.5636485010936698,0.046044922364656
2,TabNet,0.7136019045494164,0.1407108680539225,0.1418333606457541
3,TabNet,0.822683174269034,0.2457397120988997,0.0778997707988316
4,TabNet,0.5860844940473882,0.1183090735383291,0.0731249578329305
5,TabNet,0.7528696036366059,0.2312208226610746,0.0740506418383411
