variable,importance
bankcity,0.22895688132
naicsdescription,0.0829200772
bankstate,0.08209589011
projectcounty,0.081334352572
borrstate,0.067615664856
processingmethod,0.0585709063
subprogram,0.05231579684
borrcity,0.048025643103
approvaldate,0.04770907986
firstdisbursementdate,0.040292052126
sbadistrictoffice,0.03826159014
projectstate,0.03735409408
fixedorvariableinterestind,0.035984756
terminmonths,0.030296046
businessage,0.01281494706
collateralind,0.0095320566
initialinterestrate,0.009430124
franchisecode,0.00715150194
franchisename,0.0038620764
sbaguaranteedapproval,0.0035268909
l2locid,0.0035175886
businesstype,0.00325289604
soldsecmrktind,0.0032258793
approvalfiscalyear,0.0029692482
bankzip,0.0027282035
grossapproval,0.002146379
naicscode,0.0012435092
borrzip,0.0011202699
congressionaldistrict,0.0009595457
jobssupported,0.0007860709
borrstreet,0.0
asofdate,0.0
program,0.0
