column,missing_rate
chargeoffdate,0.9864194978008528
bankncuanumber,0.97190289102625
franchisename,0.8821905405934065
franchisecode,0.88177418363298
paidinfulldate,0.841233869660711
soldsecmrktind,0.7025031715781885
firstdisbursementdate,0.183672100730441
bankfdicnumber,0.10608440030625989
naicsdescription,0.07544164575567391
bankstreet,0.0013915823241101419
l2locid,0.0013915823241101419
bankstate,0.0013915823241101419
bankzip,0.0013915823241101419
bankcity,0.0013915823241101419
businessage,0.00046944945873595144
